hyperparameters,f1_score
"{'learning_rate': 1e-05, 'batch_size': 8, 'num_epochs': 1}",0.5800464037122971
"{'learning_rate': 2e-05, 'batch_size': 8, 'num_epochs': 1}",0.5674418604651164
"{'learning_rate': 3e-05, 'batch_size': 8, 'num_epochs': 1}",0.5742092457420925
"{'learning_rate': 4e-05, 'batch_size': 8, 'num_epochs': 1}",0.5489130434782609
"{'learning_rate': 5e-05, 'batch_size': 8, 'num_epochs': 1}",0.510548523206751
"{'learning_rate': 6e-05, 'batch_size': 8, 'num_epochs': 1}",0.4988009592326139
"{'learning_rate': 1e-05, 'batch_size': 8, 'num_epochs': 2}",0.5815602836879433
"{'learning_rate': 2e-05, 'batch_size': 8, 'num_epochs': 2}",0.5555555555555556
"{'learning_rate': 3e-05, 'batch_size': 8, 'num_epochs': 2}",0.5789473684210525
"{'learning_rate': 4e-05, 'batch_size': 8, 'num_epochs': 2}",0.5251396648044693
"{'learning_rate': 5e-05, 'batch_size': 8, 'num_epochs': 2}",0.5515463917525772
"{'learning_rate': 6e-05, 'batch_size': 8, 'num_epochs': 2}",0.5083932853717026
"{'learning_rate': 1e-05, 'batch_size': 8, 'num_epochs': 3}",0.5861182519280206
"{'learning_rate': 2e-05, 'batch_size': 8, 'num_epochs': 3}",0.5681818181818181
"{'learning_rate': 3e-05, 'batch_size': 8, 'num_epochs': 3}",0.5470588235294117
"{'learning_rate': 4e-05, 'batch_size': 8, 'num_epochs': 3}",0.5157894736842106
"{'learning_rate': 5e-05, 'batch_size': 8, 'num_epochs': 3}",0.5167464114832536
"{'learning_rate': 6e-05, 'batch_size': 8, 'num_epochs': 3}",0.0
"{'learning_rate': 1e-05, 'batch_size': 8, 'num_epochs': 4}",0.606060606060606
"{'learning_rate': 2e-05, 'batch_size': 8, 'num_epochs': 4}",0.5641025641025641
"{'learning_rate': 3e-05, 'batch_size': 8, 'num_epochs': 4}",0.5232558139534884
"{'learning_rate': 4e-05, 'batch_size': 8, 'num_epochs': 4}",0.5280898876404494
"{'learning_rate': 5e-05, 'batch_size': 8, 'num_epochs': 4}",0.5202312138728324
"{'learning_rate': 6e-05, 'batch_size': 8, 'num_epochs': 4}",0.45132743362831856
"{'learning_rate': 1e-05, 'batch_size': 8, 'num_epochs': 5}",0.5775401069518716
"{'learning_rate': 2e-05, 'batch_size': 8, 'num_epochs': 5}",0.5623188405797102
"{'learning_rate': 3e-05, 'batch_size': 8, 'num_epochs': 5}",0.5427728613569321
"{'learning_rate': 4e-05, 'batch_size': 8, 'num_epochs': 5}",0.5263157894736842
"{'learning_rate': 5e-05, 'batch_size': 8, 'num_epochs': 5}",0.48514851485148514
"{'learning_rate': 6e-05, 'batch_size': 8, 'num_epochs': 5}",0.4635514018691589
"{'learning_rate': 1e-05, 'batch_size': 8, 'num_epochs': 6}",0.5633802816901409
"{'learning_rate': 2e-05, 'batch_size': 8, 'num_epochs': 6}",0.5681159420289854
"{'learning_rate': 3e-05, 'batch_size': 8, 'num_epochs': 6}",0.558659217877095
"{'learning_rate': 4e-05, 'batch_size': 8, 'num_epochs': 6}",0.4969325153374232
"{'learning_rate': 5e-05, 'batch_size': 8, 'num_epochs': 6}",0.5028571428571429
"{'learning_rate': 6e-05, 'batch_size': 8, 'num_epochs': 6}",0.0
